title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
Bad Boys: Ride or Die,Bad Boys: Ride or Die,100000000,"Action, Crime, Thriller, Comedy",en,English,https://www.badboys.movie,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",3135.391,115,214651244,2024-06-05,7.064,291,United States of America
Future People: The Family Of Donor 5114,Future People: The Family of Donor 5114,0,Documentary,en,English,,"Filmed over eight years, Rothman follows a group of adolescents who discover that they were conceived from the same sperm donor, forming an unlikely family of familiar strangers. There are presently 37 half-siblings, and counting. This documentary explores the complexities of alternative conception while defining a new realm of modern family.",0.266,102,0,2021-04-09,0.0,0,United States of America
Luz,Luz,0,"Horror, Mystery, Thriller",de,"German, Spanish, English",https://yellowveilpictures.com/luz/,"Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. A demonic entity follows her, determined to finally be close to the woman it loves.",6.472,70,0,2019-03-21,5.1,65,Germany
Happily,Happily,0,"Comedy, Romance, Science Fiction, Thriller",en,English,https://www.commonwall.com/films/happily,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all.",11.698,96,0,2021-03-19,5.755,108,United States of America
This Is the Life,This Is the Life,0,"Documentary, Music",en,English,http://www.goodlifelove.com,"In 1989, a collective of young hip hop artists gathered at a health food café in South Central Los Angeles. Their mandate? To reject gang culture and expand the musical boundaries of hip hop. DuVernay's documentary chronicles the historic legacy of the Good Life Cafe — the open mic nights that became an L.A. institution, the eclectic array of talented young MCs that emerged there, the alternative hip hop movement they developed, and their worldwide influence on the artform.",1.121,97,0,2008-02-08,6.4,7,United States of America
To All the Boys: Always and Forever,To All the Boys: Always and Forever,0,"Romance, Comedy, Drama",en,"English, Korean",https://www.netflix.com/title/81040397,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,26.049,115,0,2021-02-12,7.6,1848,United States of America
Young Hearts,Young Hearts,0,"Drama, Family",nl,"Dutch, French",https://www.polar-bear.tv/young-hearts,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",21.851,97,0,2024-10-10,0.0,0,"Belgium, Netherlands"
Little Fish,Little Fish,0,"Romance, Science Fiction, Drama",en,English,https://www.littlefish.movie,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,14.144,101,39053,2021-02-05,7.0,185,"Canada, United States of America"
Two of Us,Two of Us,0,"Drama, Thriller",tl,Tagalog,,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies.",0.645,103,0,2024-04-10,0.0,0,Philippines
Atlantis,Atlantis,0,"Music, Documentary",fr,French,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",11.68,74,138,1991-08-21,6.2,45,"France, Italy"
Preparations to Be Together for an Unknown Period of Time,Felkészülés meghatározatlan ideig tartó együttlétre,1000000,Drama,hu,"English, Hungarian",,"Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before.",5.53,95,117368,2020-09-24,6.2,32,Hungary
Your Name Engraved Herein,刻在你心底的名字,0,"Romance, Drama",zh,"Mandarin, English",,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",21.398,114,0,2020-09-30,7.9,241,"Taiwan, United States of America"
Sylvie's Love,Sylvie's Love,0,"Romance, Drama",en,English,https://www.amazon.com/dp/B08L49K11S,"When a young woman meets an aspiring saxophonist in her father’s record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success.",9.709,114,0,2020-01-27,6.29,88,United States of America
"ariana grande: excuse me, i love you","ariana grande: excuse me, i love you",0,"Music, Documentary",en,English,https://www.netflix.com/title/81238721,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,14.472,97,0,2020-12-21,8.1,348,United States of America
Museum Town,Museum Town,0,Documentary,en,English,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,2.203,75,0,2019-03-10,0.0,0,United States of America
Wild Mountain Thyme,Wild Mountain Thyme,0,"Romance, Drama",en,English,,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",15.67,102,0,2020-12-11,5.2,162,"Ireland, United Kingdom"
My Psychedelic Love Story,My Psychedelic Love Story,0,Documentary,en,English,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,1.76,107,0,2020-10-22,6.3,7,United States of America
